Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PartsMenu,Firefox 53.0,,2017-05-24 11:27:50,2017-05-24 11:28:37,47.199s,PASSED
,,,,,,
Test Cases/parts tab,Firefox 53.0,,2017-05-24 11:27:50,2017-05-24 11:28:37,46.772s,PASSED
openBrowser,Firefox 53.0,,2017-05-24 11:27:52,2017-05-24 11:28:09,17.384s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-24 11:28:09,2017-05-24 11:28:11,1.272s,PASSED
setText,Firefox 53.0,,2017-05-24 11:28:11,2017-05-24 11:28:11,0.431s,PASSED
setText,Firefox 53.0,,2017-05-24 11:28:11,2017-05-24 11:28:12,0.704s,PASSED
click,Firefox 53.0,,2017-05-24 11:28:12,2017-05-24 11:28:17,5.406s,PASSED
mouseOver,Firefox 53.0,,2017-05-24 11:28:17,2017-05-24 11:28:17,0.149s,PASSED
click,Firefox 53.0,,2017-05-24 11:28:17,2017-05-24 11:28:30,12.608s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-24 11:28:30,2017-05-24 11:28:33,2.659s,PASSED
mouseOver,Firefox 53.0,,2017-05-24 11:28:33,2017-05-24 11:28:33,0.128s,PASSED
click,Firefox 53.0,,2017-05-24 11:28:33,2017-05-24 11:28:33,0.296s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-24 11:28:33,2017-05-24 11:28:37,3.755s,PASSED
mouseOver,Firefox 53.0,,2017-05-24 11:28:37,2017-05-24 11:28:37,0.009s,NOT_RUN
click,Firefox 53.0,,2017-05-24 11:28:37,2017-05-24 11:28:37,0.002s,NOT_RUN
verifyTextPresent,Firefox 53.0,,2017-05-24 11:28:37,2017-05-24 11:28:37,0.004s,NOT_RUN
mouseOver,Firefox 53.0,,2017-05-24 11:28:37,2017-05-24 11:28:37,0.002s,NOT_RUN
click,Firefox 53.0,,2017-05-24 11:28:37,2017-05-24 11:28:37,0.006s,NOT_RUN
verifyTextPresent,Firefox 53.0,,2017-05-24 11:28:37,2017-05-24 11:28:37,0.004s,NOT_RUN
mouseOver,Firefox 53.0,,2017-05-24 11:28:37,2017-05-24 11:28:37,0.003s,NOT_RUN
click,Firefox 53.0,,2017-05-24 11:28:37,2017-05-24 11:28:37,0.004s,NOT_RUN
verifyTextPresent,Firefox 53.0,,2017-05-24 11:28:37,2017-05-24 11:28:37,0.005s,NOT_RUN
