Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PartsMenu,Firefox 53.0,,2017-06-05 12:40:50,2017-06-05 13:20:58,40m - 7.328s,FAILED
,,,,,,
Test Cases/parts menu/commn feature mapping,Firefox 53.0,,2017-06-05 12:40:51,2017-06-05 12:41:15,24.580s,FAILED
openBrowser,Firefox 53.0,,2017-06-05 12:40:51,2017-06-05 12:40:59,7.545s,PASSED
navigateToUrl,Firefox 53.0,,2017-06-05 12:40:59,2017-06-05 12:41:01,2.460s,PASSED
setText,Firefox 53.0,,2017-06-05 12:41:01,2017-06-05 12:41:02,0.448s,PASSED
setText,Firefox 53.0,,2017-06-05 12:41:02,2017-06-05 12:41:02,0.697s,PASSED
click,Firefox 53.0,,2017-06-05 12:41:02,2017-06-05 12:41:10,7.433s,PASSED
mouseOver,Firefox 53.0,,2017-06-05 12:41:10,2017-06-05 12:41:10,0.201s,PASSED
click,Firefox 53.0,,2017-06-05 12:41:10,2017-06-05 12:41:10,0.264s,PASSED
verifyTextPresent,Firefox 53.0,,2017-06-05 12:41:10,2017-06-05 12:41:15,5.123s,FAILED
,,,,,,
Test Cases/parts menu/companies parts,Firefox 53.0,,2017-06-05 12:41:15,2017-06-05 12:41:36,20.980s,PASSED
openBrowser,Firefox 53.0,,2017-06-05 12:41:16,2017-06-05 12:41:21,5.316s,PASSED
navigateToUrl,Firefox 53.0,,2017-06-05 12:41:21,2017-06-05 12:41:22,1.386s,PASSED
setText,Firefox 53.0,,2017-06-05 12:41:22,2017-06-05 12:41:23,0.466s,PASSED
setText,Firefox 53.0,,2017-06-05 12:41:23,2017-06-05 12:41:24,0.832s,PASSED
click,Firefox 53.0,,2017-06-05 12:41:24,2017-06-05 12:41:31,7.095s,PASSED
mouseOver,Firefox 53.0,,2017-06-05 12:41:31,2017-06-05 12:41:31,0.126s,PASSED
click,Firefox 53.0,,2017-06-05 12:41:31,2017-06-05 12:41:31,0.276s,PASSED
verifyTextPresent,Firefox 53.0,,2017-06-05 12:41:31,2017-06-05 12:41:36,5.078s,PASSED
,,,,,,
Test Cases/parts menu/families parts,Firefox 53.0,,2017-06-05 12:41:36,2017-06-05 12:42:07,30.185s,PASSED
openBrowser,Firefox 53.0,,2017-06-05 12:41:36,2017-06-05 12:41:41,4.954s,PASSED
navigateToUrl,Firefox 53.0,,2017-06-05 12:41:41,2017-06-05 12:41:45,3.059s,PASSED
setText,Firefox 53.0,,2017-06-05 12:41:45,2017-06-05 12:41:45,0.236s,PASSED
setText,Firefox 53.0,,2017-06-05 12:41:45,2017-06-05 12:41:45,0.200s,PASSED
click,Firefox 53.0,,2017-06-05 12:41:45,2017-06-05 12:41:52,7.171s,PASSED
mouseOver,Firefox 53.0,,2017-06-05 12:41:52,2017-06-05 12:41:52,0.126s,PASSED
click,Firefox 53.0,,2017-06-05 12:41:52,2017-06-05 12:41:53,0.308s,PASSED
verifyTextPresent,Firefox 53.0,,2017-06-05 12:41:53,2017-06-05 12:42:07,14.019s,PASSED
,,,,,,
Test Cases/parts menu/Family Parametric Mapping,Firefox 53.0,,2017-06-05 12:42:07,2017-06-05 12:42:43,36.489s,PASSED
openBrowser,Firefox 53.0,,2017-06-05 12:42:07,2017-06-05 12:42:12,5.079s,PASSED
navigateToUrl,Firefox 53.0,,2017-06-05 12:42:12,2017-06-05 12:42:13,1.322s,PASSED
setText,Firefox 53.0,,2017-06-05 12:42:13,2017-06-05 12:42:13,0.254s,PASSED
setText,Firefox 53.0,,2017-06-05 12:42:13,2017-06-05 12:42:14,0.219s,PASSED
click,Firefox 53.0,,2017-06-05 12:42:14,2017-06-05 12:42:20,6.211s,PASSED
mouseOver,Firefox 53.0,,2017-06-05 12:42:20,2017-06-05 12:42:20,0.104s,PASSED
click,Firefox 53.0,,2017-06-05 12:42:20,2017-06-05 12:42:20,0.287s,PASSED
verifyTextPresent,Firefox 53.0,,2017-06-05 12:42:20,2017-06-05 12:42:43,22.860s,PASSED
,,,,,,
Test Cases/parts menu/Family Summary with Products,Firefox 53.0,,2017-06-05 12:42:43,2017-06-05 12:43:25,42.278s,PASSED
openBrowser,Firefox 53.0,,2017-06-05 12:42:43,2017-06-05 12:42:48,4.808s,PASSED
navigateToUrl,Firefox 53.0,,2017-06-05 12:42:48,2017-06-05 12:42:50,2.163s,PASSED
setText,Firefox 53.0,,2017-06-05 12:42:50,2017-06-05 12:42:51,0.238s,PASSED
setText,Firefox 53.0,,2017-06-05 12:42:51,2017-06-05 12:42:51,0.202s,PASSED
click,Firefox 53.0,,2017-06-05 12:42:51,2017-06-05 12:42:59,8.492s,PASSED
mouseOver,Firefox 53.0,,2017-06-05 12:42:59,2017-06-05 12:42:59,0.120s,PASSED
click,Firefox 53.0,,2017-06-05 12:42:59,2017-06-05 12:43:00,0.278s,PASSED
verifyTextPresent,Firefox 53.0,,2017-06-05 12:43:00,2017-06-05 12:43:25,25.801s,PASSED
,,,,,,
Test Cases/parts menu/Family Summary,Firefox 53.0,,2017-06-05 12:43:25,2017-06-05 12:44:01,35.751s,PASSED
openBrowser,Firefox 53.0,,2017-06-05 12:43:26,2017-06-05 12:43:30,4.605s,PASSED
navigateToUrl,Firefox 53.0,,2017-06-05 12:43:30,2017-06-05 12:43:32,1.565s,PASSED
setText,Firefox 53.0,,2017-06-05 12:43:32,2017-06-05 12:43:32,0.307s,PASSED
setText,Firefox 53.0,,2017-06-05 12:43:32,2017-06-05 12:43:32,0.176s,PASSED
click,Firefox 53.0,,2017-06-05 12:43:32,2017-06-05 12:43:39,6.371s,PASSED
mouseOver,Firefox 53.0,,2017-06-05 12:43:39,2017-06-05 12:43:39,0.123s,PASSED
click,Firefox 53.0,,2017-06-05 12:43:39,2017-06-05 12:43:39,0.271s,PASSED
