Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Vc menu/investors funds,Firefox 53.0,,2017-05-28 09:36:54,2017-05-28 09:37:11,16.526s,FAILED
openBrowser,Firefox 53.0,,2017-05-28 09:36:55,2017-05-28 09:36:59,4.225s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:36:59,2017-05-28 09:37:00,0.920s,PASSED
setText,Firefox 53.0,,2017-05-28 09:37:00,2017-05-28 09:37:00,0.286s,PASSED
setText,Firefox 53.0,,2017-05-28 09:37:00,2017-05-28 09:37:00,0.210s,PASSED
click,Firefox 53.0,,2017-05-28 09:37:00,2017-05-28 09:37:05,5.266s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:37:05,2017-05-28 09:37:06,0.101s,PASSED
click,Firefox 53.0,,2017-05-28 09:37:06,2017-05-28 09:37:08,2.044s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:37:08,2017-05-28 09:37:11,3.253s,FAILED
,,,,,,
Test Cases/Vc menu/pre mapping,Firefox 53.0,,2017-05-28 09:37:11,2017-05-28 09:37:55,44.023s,FAILED
openBrowser,Firefox 53.0,,2017-05-28 09:37:11,2017-05-28 09:37:15,4.482s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:37:15,2017-05-28 09:37:17,1.059s,PASSED
setText,Firefox 53.0,,2017-05-28 09:37:17,2017-05-28 09:37:17,0.295s,PASSED
setText,Firefox 53.0,,2017-05-28 09:37:17,2017-05-28 09:37:18,0.749s,PASSED
click,Firefox 53.0,,2017-05-28 09:37:18,2017-05-28 09:37:23,5.424s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:37:23,2017-05-28 09:37:23,0.095s,PASSED
click,Firefox 53.0,,2017-05-28 09:37:23,2017-05-28 09:37:23,0.233s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:37:23,2017-05-28 09:37:55,31.603s,FAILED
,,,,,,
Test Cases/Vc menu/VCCompaniesMapping,Firefox 53.0,,2017-05-28 09:37:55,2017-05-28 09:38:28,32.774s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:37:55,2017-05-28 09:38:00,4.619s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:38:00,2017-05-28 09:38:01,1.150s,PASSED
setText,Firefox 53.0,,2017-05-28 09:38:01,2017-05-28 09:38:01,0.238s,PASSED
setText,Firefox 53.0,,2017-05-28 09:38:01,2017-05-28 09:38:02,0.917s,PASSED
click,Firefox 53.0,,2017-05-28 09:38:02,2017-05-28 09:38:21,19.072s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:38:21,2017-05-28 09:38:21,0.137s,PASSED
click,Firefox 53.0,,2017-05-28 09:38:21,2017-05-28 09:38:21,0.217s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:38:21,2017-05-28 09:38:28,6.299s,PASSED
