Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Firefox 53.0,,2017-05-28 08:45:34,2017-05-28 08:45:34,0.164s,PASSED
click,Firefox 53.0,,2017-05-28 08:45:34,2017-05-28 08:45:41,6.709s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 08:45:41,2017-05-28 08:45:41,0.095s,PASSED
click,Firefox 53.0,,2017-05-28 08:45:41,2017-05-28 08:45:41,0.298s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 08:45:41,2017-05-28 08:46:16,34.726s,PASSED
,,,,,,
Test Cases/parts menu/GenerationDashBoardReport,Firefox 53.0,,2017-05-28 08:46:16,2017-05-28 09:07:48,21m - 32.272s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 08:46:16,2017-05-28 08:46:21,4.569s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 08:46:21,2017-05-28 08:46:26,5.265s,PASSED
setText,Firefox 53.0,,2017-05-28 08:46:26,2017-05-28 08:46:26,0.215s,PASSED
setText,Firefox 53.0,,2017-05-28 08:46:26,2017-05-28 08:46:26,0.139s,PASSED
click,Firefox 53.0,,2017-05-28 08:46:26,2017-05-28 08:46:36,9.673s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 08:46:36,2017-05-28 08:46:36,0.119s,PASSED
click,Firefox 53.0,,2017-05-28 08:46:36,2017-05-28 08:46:36,0.266s,PASSED
waitForAlert,Firefox 53.0,,2017-05-28 08:46:36,2017-05-28 09:07:34,20m - 58.068s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:07:34,2017-05-28 09:07:48,13.859s,PASSED
,,,,,,
Test Cases/parts menu/Importe,Firefox 53.0,,2017-05-28 09:07:48,2017-05-28 09:08:12,23.543s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:07:49,2017-05-28 09:07:56,6.968s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:07:56,2017-05-28 09:07:57,1.211s,PASSED
setText,Firefox 53.0,,2017-05-28 09:07:57,2017-05-28 09:07:57,0.292s,PASSED
setText,Firefox 53.0,,2017-05-28 09:07:57,2017-05-28 09:07:58,0.730s,PASSED
click,Firefox 53.0,,2017-05-28 09:07:58,2017-05-28 09:08:03,5.407s,PASSED
